review_title,review,sentiment
"Great company culture, though promotion may be slow","{ Pros. Company culture is strong in Los Angeles area refinery Benefits are good, most technical staff works 9/80 schedule Seems to be non-hierarchal, open door policy means something from most managers } { Cons. Recently losing talent in recruitment and attrition, due to competition of tech industry in California Not as progressive other industries, though ahead of the other Energy companies }",0.88
Great culture,{ Pros. The people are great to work with. } { Cons. There isn’t much room for growth. },0.77
Great place to work,"{ Pros. High salary, good work life balance } { Cons. Chevron's IT is way behind other companies in technology }",0.44
Great benefits,"{ Pros. Major oil and gas company with contacts to vendors and other major oil and gas companies } { Cons. Limited advancement opportunities, check the box assignments }",0.18
,{ Pros. I really like the people here. Feels awesome. } { Cons. Tired all the time. Need extra support.1 person found this review helpfulHelpfulShareRepor },0.61
Gas station,{ Pros. Good pay fun people to with } { Cons. Worked as a skeleton crew },0.7
"Good, stable job","{ Pros. Great mentorship, many opportunities to learn new technologies and participate in international projects } { Cons. Typical slow moving giant corporation, and you may feel that your contributions make minimal impact on the grand scheme of the project }",0.87
Easy,{ Pros. Low pressure slow moving good people } { Cons. This is a very bureaucratic company },-0.1
Best Job Ever,"{ Pros. Best job ever, I wake up every day excited for work. } { Cons. Nothing, I love my job. }",0.5
Great place to work,"{ Pros. Work life balance, career opportunities } { Cons. Susceptible to downturns, slow to respond to digital progress }",0.66
Caucasian male swipe right. Any other ethnic group swipe left,{ Pros. 9/80 schedule giving you two Friday's off per month } { Cons. Too many re-orgs! I have had 8 team leads in 7 years! More than my 13 years prior to joining the company. The company is always pushing the reset button with all the frequent re-orgs. Almost like the company does not know what it wants to be when it grows up. },0.64
All about who you know,{ Pros. Great benefits and work/life balance. Company culture is different in Louisiana than corporate culture } { Cons. Moving within the company is about who you know },0.77
Good overall,{ Pros. Good salary and benefits overall } { Cons. Lots of politics as a result of the company's culture },0.67
"Great Company, Great People","{ Pros. -Competitive pay -Friendly work environment -Strong work life balance } { Cons. It's not a growing industry, so it can be hard to see yourself there for 30 years if you're just starting your career. }",0.71
Chevron,{ Pros. people are great to work with } { Cons. late nights and evenings at times },0.62
Great,{ Pros. Great money. Great people. Great work space. Great hireackey. Great food. } { Cons. Environment but other the bit of noise can think of any. },0.89
Good,{ Pros. 9/80 schedule with more days off } { Cons. No cons at this point },-0.3
Chevron,{ Pros. Had a great work life balance } { Cons. Employee difficulties were often ignored },0.15
Great Place to Start your Career,"{ Pros. Plenty of opportunity, More than competitive salary, great benefits, and supportive colleagues, flexible career path } { Cons. Corporate politics, employees get stuck in the work grind, geographical location limitations, }",0.91
good,"{ Pros. career growth, employee wellness and safety } { Cons. salary could be better, too much meetings }",0.88
not very good,{ Pros. the environment and the environment } { Cons. low salary and low salary },-0.49
Great Company,{ Pros. 1. Fair 2. Focused on Feedback 3. Focused Only On What is Necessary 4. Various Types of Domestic and Overseas Opportunities 5. Willing to Adapt to Change Quickly } { Cons. I have no major complaints... },0.86
Amazing Place to Work,{ Pros. Corporate Culture of Inclusiveness 401k match Strong Leadership Team Amazing Coworkers } { Cons. Not agile (but working on it) Bureaucratic },0.55
Intern Salary,{ Pros. Good starting salary for college. } { Cons. It was remote but so was everywhere. },0.24
Chevron,"{ Pros. Really easy and chill, could get pretty boring } { Cons. None, having a lot of slow days }",0.62
Slow and loose management,{ Pros. good work life balance. Nice pay } { Cons. Management response is low and no guidiance or training },0.25
Cashier at Chevron,"{ Pros. Pay, coworkers, benefits and location } { Cons. Tedious and odd working hours }",-0.03
Wells function,"{ Pros. great training, pay and benefits } { Cons. Culture heavy on D&I and reflected in employee selection, managers that are shiny rise to the top not based on merit or actual work, processes are cumbersome }",0.7
Overall great place to work,"{ Pros. Great 401k, benefits, pay and bonuses } { Cons. Work life balance can be an issue. }",0.87
Great employer,"{ Pros. Great benefits including 401k match, work/life balance } { Cons. not applicable at this time }",0.77
Nice Company but watch Oil Price!,{ Pros. Great company with international opportunities and great compensation } { Cons. Multiple layoffs during low oil commodity price },0.87
Excellent Company To Work For!,"{ Pros. Excellent culture and processes. Career opportunities Work, Life, Balance } { Cons. Average Company Politics Corrupts managements Chevron Way is not always the correct way }",0.74
"Good company, great technical resources","{ Pros. Technical resources, benefits, training, vacation } { Cons. Processes, middle management, human resources }",0.38
Excellent Overall Corporate Expereince,"{ Pros. Great Diversity and Inclusion Program, large number of career opportunities. Wonderful compensation. } { Cons. Upper management doesn't always think outside of the box. }",0.89
Too much reorg,"{ Pros. Good pay , good balance to start careers } { Cons. Record make managers not aware of team project }",0.66
Chevron,"{ Pros. Great culture. ""One Team"" behaviors all the way. Clear leadership and feedback focused. } { Cons. Still a few old school managers }",0.85
Good,"{ Pros. Good job totally fine yes } { Cons. Oil culture can be tough, }",0.76
Great Experience!,"{ Pros. Pay, opportunity for growth, culture, technology, people } { Cons. Regular layoffs, outsourcing US jobs overseas }",0.61
"Good company, lots of resources, sometimes too much political","{ Pros. Amazing people. Super intelligent. Great resources. Strong influence from every stata to increase diversity. } { Cons. Too big to allow for performance based advancement. Advancement is based upon self promotion, which leaves many people without the appropriate opportunities. }",0.96
I had been called on a wednesday to get a new chance at becoming an Cashier at Chevron Gas Station.,"{ Pros. Handling the drawer, cash, total & earnings. } { Cons. Timing exactly when to close & lock up the store locations because of entrances upon guests. }",0.0
Really great place to work,"{ Pros. Salary and benefits are top notch. The atmosphere both in the office and in the field are commendable. } { Cons. The Shareholder is the bottom line, so many layoffs to keep the shareholders happy. }",0.8
Great company to work for in long term,"{ Pros. Values its employees, good work culture } { Cons. Relationship with stakeholders matter more than business results. Sycophant is rewarded better than hard working employee }",0.89
Oil Company,"{ Pros. Benefits, salary, mentors, perks, time off. } { Cons. None, other than no covered parking. }",0.54
Good,{ Pros. Salary and benefits Good culture environment } { Cons. Na na na na na },0.67
Good culture,"{ Pros. Great culture for oil and gas company } { Cons. Lot of push to get people in management roles that aren’t the most talented or experienced, just well spoken and do whatever it takes to look good. }",0.91
Cloud Engineering Intern Review,"{ Pros. Chevron is a really friendly place to work at for beginning Software Engineers, their workload is significantly less than a Software company would assign, but you still get a good experience technically and socially. } { Cons. The problem you work on in Chevron are usually less technically advanced because they're not a Software company, meaning that the work you do will be more specific and you will only get to learn one or two new tools. }",0.56
Bad management,{ Pros. Good schedule and willing to work around it } { Cons. Bad team members manager doesn’t care about employees },0.38
Great Company Culture,"{ Pros. Great people to work with, collaborative team environment } { Cons. Oil industry may not be the most rewarding }",0.83
Great Company,{ Pros. Great company to work for. } { Cons. I haven’t observed any cons. },0.62
Enjoyed the Job,"{ Pros. The company is very involved in your well-being. } { Cons. Sometimes, the company can over-assign work. }",0.0
great place to work/build a career,"{ Pros. career growth, work life balance, opportunities, great people } { Cons. very slow to change, large company with lots of employees and constant resource changes, oil/gas industry can cause turbulence }",0.85
Great Company & Great Culture,"{ Pros. I enjoyed the inclusive culture at Chevron; they always focused on growing more within the diversity and inclusion space. } { Cons. There were times when project direction was not as clear as it could have been; however, this is something you will most likely encounter at any job. }",0.66
Good experience,{ Pros. Good benefits and great pay } { Cons. Would not return calls after going on medical leave },0.84
Great job,{ Pros. You get to interact with customers } { Cons. Always have to be on your feet },0.0
.,"{ Pros. Good pay and benefits, good people to work with } { Cons. Poor long term prospects during downturns. }",0.73
?,{ Pros. Good pay and benefits and global opportunities } { Cons. They do mass layoffs regularly. They shove diversity stuff down your throat constantly. },0.77
"Great company, great top leadership, poor middle management","{ Pros. work life balance, pay, pension, flex time, 9/80s } { Cons. poor career development, politics, un-interested middle management }",-0.54
intermedy,{ Pros. pay the day schedule change hhhhfgdfg } { Cons. customer services mal ambiente Laboral htruj },-0.1
Changes slow and a bad environment,"{ Pros. For hourly employees that are union currently. There is the fact that there haven't been lay offs yet. } { Cons. 1. There is a lot of old mentalities regarding how the plant should run. Need a 1 track mind for this. 2. Also leadership styles are different that things can vary so much from supervisor, shift, and message received to the operators and contractors. 3. The previous owner of this refinery left an impact on the work force and the reliability of the plant. leading to disconnect between leadership and operations. 4. The safety for now is almost non existent. There needs to be a bigger role in training and actual safety personnel to make this successful. }",0.88
Good Experience,{ Pros. Pay and benefits were good } { Cons. Chaotic year with all the changes },0.23
Great Company,{ Pros. Major oil company with top knot high everything } { Cons. Heavy on the management side },0.2
good,{ Pros. it is a good work environment } { Cons. not sure what ot say yet },0.24
Meh,"{ Pros. Lots of free time and planning for something else. } { Cons. No hours, min pay, no benefits }",-0.12
flexible position,"{ Pros. great manager, open to salary negotiation } { Cons. occasionally unorganized, small office space }",0.62
Good,{ Pros. Good place to work it was great } { Cons. Nothing negative to say because it was good },0.92
Great Company,"{ Pros. Good benefits, Great company culture. } { Cons. Limited work locations. Limited career development for those without an engineering degree. }",0.78
Great Company,"{ Pros. Great company to work with, great culture. } { Cons. Nothing to say. Not discover problem yet. }",0.89
Reorganizing but not fully thought out,"{ Pros. Benefits are solid Vacation is generous even if you transfer in 401k and pension(for now) Decent pay Some good people } { Cons. Slowly dying and not looking to really make a stepwise change or diversify. Some great people, but we kept a ton of bad apples. The reorg was not well thought out in terms of how to execute Too many consultants with a foothold without knowing our company. This lead to the adoption of a hybrid conglomerate of multiple operating models. As an external hire who has spent a number of years here, I can say this place is as good as your manager and perhaps worse since the opportunities to switch roles seems to have dried up with the org changes.3 people found this review helpfulHelpfulShareRepor }",0.43
Best Oil Major,"{ Pros. People over profits, competitive pay, great benefits. } { Cons. Frequent layoff, commodity based business, regulatory environment }",0.87
PSG 21,{ Pros. great people to work with } { Cons. very hard to get promotions },0.53
Chevron Restructuring,"{ Pros. Great company, varied roles are possible, large assets } { Cons. Upper management not fully engaged in day to day operations }",0.51
Good company to work at,{ Pros. Lots of opportunities to grow and work on different projects around the world. Great retirement plan. Great company culture } { Cons. Long hours and very hierarchal (like all big companies) },0.93
It was alright,{ Pros. Management and hours were flexible } { Cons. Schedules would change on a whim without any communication },0.23
Chill team,"{ Pros. The team I worked with, RM, based at RTC in Richmond, CA, was a chill team. Supervisor was hands-off and though supervisors above him were not technical enough to understand what we did, we generally didn't have to deal with the misgivings. Although this was Richmond, the area is safe. } { Cons. There tends to be layoffs every couple of years to trim the company, though if your job has purpose, it's generally safe. Next to refinery. Depending on weather conditions, will stink if you are downwind and outside. }",0.48
not sure about the future,"{ Pros. good culture, values people, wants to inovate } { Cons. too big to change fast enough to survive }",0.68
very good,{ Pros. great work life balance at chevron } { Cons. location is a challenge to work },0.66
Discriminatory against women and people of color,"{ Pros. Benefits and flexibility were the best really } { Cons. Biased management, gender, and ethnic-based discrimination. Opportunities are not afforded to non-US employees regardless of great performance. Chevron Way only counts when it is convinient. }",0.93
Great company,{ Pros. Great place to work and fantastic benefits } { Cons. Constant reorganization efforts for past 5 years },0.88
Great company,{ Pros. Pay . Benefits. Pay. Benefits. Pay. Benefits. } { Cons. None. None. None. None. None. },0.68
Not what is used to be...,{ Pros. 9/80 work schedule Compensation is beyond fair } { Cons. Process within processes - Slow growth (before 2020) Some new internal organizations lack any direction and most of the work falls on to a few people. Very Stressful },-0.25
Chevron,{ Pros. They care about their people } { Cons. large company works slower sometimes. },0.49
Chevron,{ Pros. Competitive Salary Global Company Employee Benefits Culture Safety Program } { Cons. Cyclic Industry Declining Oil Demand Fossil Fuels },0.68
this place is horrible,{ Pros. not really any pros working at chevron } { Cons. upper managment only cares about their managers not employees2 people found this review helpfulHelpfulShareRepor },0.46
Chevron Employment Experience,"{ Pros. Competitive Salary, great people/friendly culture, strong safety culture, awesome benefits, ability to travel. } { Cons. Focus on promoting women can lead to fewer promotion opportunities for others. }",0.97
Great,{ Pros. Excellent opportunities for growth here. } { Cons. There are no cons here. },0.77
Great pay and work life balance,"{ Pros. Chevron pays well. Good benefits. } { Cons. It's an oil company. A twilight industry. Overall, employee count is decreasing. }",0.77
Operations related work,"{ Pros. Great work environment to work in a team } { Cons. When oil prices are low, lots of job instability }",0.46
"Interesting work, top caliber colleagues","{ Pros. Great benefits, good compensation, interesting work, } { Cons. Age discrimination related to promotions, too much process }",0.91
Great Company In Transition,{ Pros. Very good work; reorganization creates opportunities } { Cons. Heavily Bureaucratic; live and die by oil prices },0.46
Fast Paced,{ Pros. laid back job but quick paced at times } { Cons. male customers harass underage female workers and management does nothing about. },-0.65
Ok,{ Pros. Good benefits and nice work environment } { Cons. Unstable employment and too many layoffs },0.7
Great place to work! Great culture,"{ Pros. Hours, 9/80 schedule, 401k plan, pension plan } { Cons. The ranking system for performance management, they rank you amongst the peers in your pay group }",-0.1
Chevron review,"{ Pros. comfortable, low stress, and nice people } { Cons. Leadership does not empower its workers }",0.3
Land Representative,"{ Pros. Benefits, Salary, Difficult to Fail, Rotational Opportunities } { Cons. Hard to Get Title Promotions, Lots of Red Tape }",-0.3
Company Review,{ Pros. Company offer good salary to employee } { Cons. Not valuing talented people without big connection in the company },-0.21
It is a job,"{ Pros. Work is available but often too much and low quality. } { Cons. Not a very good job, last resort kinda deal. }",-0.73
Great Company to Work For,{ Pros. Loss Stress with Great People } { Cons. Chevron and Industry is moving too slow to adapt to changing markets },0.0
Strong Safety Culture,{ Pros. Great team members; Strong focus on safety; } { Cons. Huge lay-offs in 2020 and 2021; },0.91
Gone Full PC,{ Pros. The benefits were amazing. They sure know how to keep you there. } { Cons. They've gone full SJW PC nonsense. I'm not sure what gendered pronouns or capital letters being offensive has to do with oil and gas. But they seem to think it's important. },0.23
Pretty cool,{ Pros. the people here are really nice } { Cons. not many cons i can think of },0.48
Great Place to Work!,"{ Pros. People, Training, Work Environment, Flexible Work Schedule } { Cons. Red Tape, low-key Corporate Vibe, }",0.23
Slow career progression,"{ Pros. No pros really. Hypocrites executives. } { Cons. They always say about diversity. But still, american are promoted quicker than other countries. }",0.48
Good company,{ Pros. Good place to spend career } { Cons. Industry is challenging these days },0.54
Shift work,{ Pros. The 401k match and pension are great } { Cons. It is a Boys club environment },0.62
Great place to work,"{ Pros. Nothing to say. It's a good place. } { Cons. Benefits are great. Vacation, 401k are competitive. }",0.88
Great Work Life Balance,{ Pros. Flexible working schedule and 9/80s } { Cons. Remote work and office locations },0.23
Big job little pay,"{ Pros. Customer service experience, gain good knowledge of the inner workings of running a convenience store } { Cons. No bonus, not run by corporate }",0.53
Average Pay with Opportunity to Grow and Work/Life Balance,{ Pros. Work/Like Balance. 9/80 schedule. 4:1 match on 401k up to 2% salary. Big dynamic company with opportunity to grow internally. } { Cons. Below average for starting at a high salary however great in alignment with long horizon career plans/growth.1 person found this review helpfulHelpfulShareRepor },0.86
Review,"{ Pros. Benefits, Compensation, Work Environment, Location } { Cons. Work Culture, Some organizations are bureaucratic }",0.38
One of the Best Company to Retire,{ Pros. Great culture on how people treat each other with respect and safety. } { Cons. Not applicable at this time. },0.91
Loved it,{ Pros. Great place for fresh college hires. } { Cons. You have to live in Bakersfield. },0.75
Best Company for Work Life Balance,"{ Pros. Great benefits, alternative work schedule (like 9/80), tremendous support for employees, and great people to work with. } { Cons. Hierarchical, slow at making decisions, and reduced job opportunities. }",0.96
Decent,"{ Pros. Nice people, good work-life balance, good pay } { Cons. Slow to accomplish projects sometimes, constrained career development }",0.86
About chevron,{ Pros. - Very good ice cream - fast paced service - good relationship with customers - friendly } { Cons. - not enough pay - no checks approved - low staff },0.61
Okay experience,{ Pros. You mostly work alone on your shifts. } { Cons. A lot of work for one person. Also safety at night when closing alone. },-0.05
Good company,"{ Pros. Good salary, work life balance } { Cons. Techniques need to improve to catch up with high-tech company }",0.7
Great,{ Pros. If everybody does their part ti can be a nice environment. And you get to meet new people everyday. } { Cons. If people do not do their part the job can seem to hard and annoying. },-0.08
good,"{ Pros. freedom of work, good benefit } { Cons. turnover employees, too much work }",0.88
Ok company,{ Pros. Good employees for the most } { Cons. Poor salary for the most },-0.05
Do more with less,"{ Pros. challenging problems, employee friendly, in-house gym } { Cons. promotions and those in leadership are not usually the best ones for the job }",-0.31
Great company to work for,{ Pros. Many opportunities to advance Competitive salaries Great benefits } { Cons. Inadequate performance ranking system International locations can exhibit exclusive behaviors towards expats Introverts are often left behind },0.83
Great company,{ Pros. Good energy and positive attitudes } { Cons. A lot of changes in procedures },0.82
Life at Chevron,{ Pros. very great place to work. Nice comps } { Cons. long hours and sometimes bureaucratic },0.8
Sales salary,"{ Pros. Hours, people , location, management , perks } { Cons. little pay, no pto, non negotiable hours }",-0.26
At a fork in the road - to be forked or not,{ Pros. Clear and frequent Internal Comms Salary Training Good intent } { Cons. Too many ‘initiatives’ not enough achievements Job security (3 large workforce reviews in last six years) America-centric thinking - nice to your face but lots of secret forking going on in the background Good intent - often poorly executed },0.85
pro con,{ Pros. ppl are great to work with } { Cons. stressful now and then but yea },0.1
Fine,{ Pros. Lots of stuff was good } { Cons. Not many things were bad },-0.15
Human Resources,{ Pros. you gain lots of experience } { Cons. too much work for amount of money },0.53
Well meaning but horrible personnel management,"{ Pros. excellent benefits and pay, reasonable dedication to employee wellness } { Cons. Every headcount reduction (which happens multiple times a year), is horribly managed and creates undue stress on basically the entire corporation. Rarely an opportunity to do what YOU want. Unable to move around within the company much. }",0.4
Proceed with Caution,"{ Pros. Great Benefits, I have no others } { Cons. Poor leadership knowledge of employees, No apperception of hard work, more concerned about being woke than a reputable oil and gas company }",-0.05
Great company,"{ Pros. Great compensation and work life balance } { Cons. Some micro managing of employees, some managers should not be in management positions. As I was departing - they finally re-did the employee review process, which was a number based ranking. }",0.66
About what you'd expect,{ Pros. People know the company by name } { Cons. People don't like the company },-0.28
Great Job,"{ Pros. Healthy work-life balance, meeting nice people, and good management. } { Cons. Not the highest paying company. }",0.81
Not great at training,{ Pros. I really loved my customers. } { Cons. Theyre Not great at training },0.23
Used to be great!,"{ Pros. The only pro now is great work/life balance. We did have great benefits but that changed in 2015. } { Cons. Very low pay for the job. An average DSM makes roughly 120k-150k. Other companies are 200k+. The benefits are now horrible to keep up dividends for shareholders. Old timers said the company was lower paying but had job security compared to other O&G jobs, not anymore. Layoffs every 3-4 years for field staff. The field will have promotion freezes and layoffs but all the office staff sits safely in their positions or even promotions amid field layoffs. Finally they are so woke for diversity and inclusion that they discriminate against white males. The company went from one of the best to work for to one of the worst. Chevron is a typical woke, liberal, California company. }",0.62
Great experience for customer service,{ Pros. - Learned new skills for employment history } { Cons. - Could not continue to a more former title },0.0
Best place foe college students,"{ Pros. College reimbursement, flexible schedules and good pay } { Cons. Having to work weekends and late shifts if that’s not for you }",0.53
You must be a favorite,{ Pros. Salary and benefits Are good. } { Cons. Good old boy network. Does not care about diversity and inclusion. Only move to other positions if you are in a development program or a favorite of managers even if they are lackluster. },0.83
Nice spot,{ Pros. Easy hours Flexible work life balance } { Cons. Very average to below average pay for younger-career employees in the bay area },0.53
SRE-Big Oil pay,"{ Pros. Nice culture, great people, 100% remote IT work-no problem } { Cons. Slow job growth, org restructuring very few years }",0.78
I loved it,{ Pros. Meet new people every day } { Cons. one of the kids got loud },0.0
Good company to work for,"{ Pros. -Empowers employees & invests in employee personal development -Forward-thinking leadership that keeps employees in mind -Looking at new, innovative, and renewable energy sources for the future } { Cons. Many levels of organization charts that makes it difficult to find expertise in specific fields }",0.36
Very fun and easy going job,"{ Pros. Fun, like a family, easy } { Cons. None to think of, it was a great job. }",0.92
Chevron Benefits,{ Pros. Strong pay and benefits compared to other companies } { Cons. job security: You are always have to risk a layoff every 3-4 years. },0.7
..,{ Pros. great company with good environment } { Cons. none none none none none },0.79
The best place I have ever worked,{ Pros. Customers and family coworkers are always there for each other } { Cons. Not enough hours and pay },-0.1
Chevron,{ Pros. Fair pay and good hours. } { Cons. Far from where I live },0.59
"Great intentions, trips over itself seometimes","{ Pros. Managers and leadership at Chevron care about their employees and spend the time and money to show it. It's almost painful sometimes and several lifelong Chevron employees don't realize how great they have it. You're also working with a large number of capable people who want to do good work. In my experience, if those that are only a few months away from retirement still put in significant effort. They want the company and the people there to succeed. } { Cons. I don't think this is unique to Chevron, more a consequence of being a large company with long-tenured employees - in many groups voicing disagreement or new ideas has to be done very skillfully or you can come off as 'a jerk' even if it would be considered fairly polite at other companies. It's a very heavy 'nice' culture that can slow things down. }",0.78
Great opportunity to work here,{ Pros. - Diversity - Pay - Amount learned } { Cons. - Competing with other interns for returning offer and not individual performance },-0.1
Great company to work for,"{ Pros. Great work life balance; good pay and benefits } { Cons. Very process driven, takes long time to make decisions. Nepotism in career progress. Frequent downsizing. }",0.9
Great company. always looking to improve,{ Pros. Run by people who are invested in the company for the long term } { Cons. A progressive company in a archaic and rapidly changing industry is a tough environment },-0.13
Amazing Company with Great People and Benefits,{ Pros. Very caring management and team members. Open door policy makes talking to everyone and asking questions very easy. } { Cons. Sometimes finding what your next move is within the company is a little difficult if what you are looking for is very specific. },0.67
"Chevron talks a great game, but it’s all talk that leaders don’t follow",{ Pros. Great salary and benefits including insurance and retirement } { Cons. The “Chevron Way” is a joke! Leaders don’t follow the tenets they put in place for everyone else. },0.85
It’s what you make of it!,"{ Pros. You get to help and even get to know some really amazing customers Safe and clean work environment } { Cons. If you do not like dealing with the public, it’s not the best job for you. If you do not know how to talk to various people from all over the world with different personalities, attitudes, accents, etc.. it’s not a job for you either. }",0.8
Awesome Environment,{ Pros. Alot of opportunities for initiating new project and learning new technologies } { Cons. there isnt a specific roadmap for career progression },0.38
,"{ Pros. The work culture is great, dont have any more pros. } { Cons. In the time I have been there its none }",0.62
Company,"{ Pros. Good Pay Good Company Great People } { Cons. Location driven, top heavy management, safety driven }",0.92
"World class company, insular culture","{ Pros. Many growth opportunities for driven professionals; the company's products and services are essential, so your work matters; outstanding reputation, highly respected; excellent compensation and benefits. } { Cons. Very insular culture; extensive passive-aggressive behavior up and down the organization; lots of inertia -- new ideas are generally resisted. }",0.96
?,{ Pros. Good pay Graveyard shift you less customers } { Cons. Micro check every tasks you do Can not play scratchers on the clock },-0.19
Great place to work,"{ Pros. Good pay, focus on diversity } { Cons. Large bureaucratic company with decision making by committee }",0.36
Come here if they want you as a poster child,{ Pros. Resources Pay Benefits Hours Inner Circle Job Security ( if you’re in the right program) } { Cons. Slow like any large company Cyclicality of O&G },0.73
Oldie but goodie,{ Pros. Pay and benefits are decent. } { Cons. Cyclical commodity market employer so susceptible to layoff cycles. Upward mobility limited due to very long-term employees that stay in role for years. },0.08
Good company,"{ Pros. Good company to work for } { Cons. Complex promotion process, alot of who you know and who knows you }",0.44
Horrible place to work,"{ Pros. Very few advantages of working here } { Cons. Sexist, corrupt, manipulative, dangerous, scary }",-0.55
great co to work for,"{ Pros. security, ethics, environment, salary, safety culture } { Cons. none that i can think of }",0.64
Oil and Gas Intern,"{ Pros. Fun, Exciting, Thrilling, Thought-provoking, Amazing } { Cons. No cons, wish management paid more }",0.87
Oil,"{ Pros. Money is good, industry is struggling } { Cons. Good old boy system, favoritism rather than merit }",0.76
“Major” Disappointment,{ Pros. Benefits and appearance of career opportunities } { Cons. Too political and excessive personal bias Hiring process relies more on who you know and leaves experienced staff stuck in role or forced to leave. },-0.1
Wonderful Company.,"{ Pros. Great Benefits, Wonderful company match 401k, High salaries, opportunities to move up and/or try new things. } { Cons. Slow to adapt to some technology but improving. Slow decision processes at times but getting better. }",0.93
Best company,"{ Pros. Care about you, good systems, good pay } { Cons. Big company and can be buerocratic }",0.82
"""Woke"" culture destroying morale","{ Pros. Work life balance is respected and encouraged. Work is interesting and collaboration is generally open. } { Cons. Like many corporations, Chevron is bending the knee to the ""Social Justice"" movement. This means that the workforce is being atomized and pitted against itself. Reference Chevron's press releases from earlier this year crowing about how personnel reductions at upper levels had disproportionately affected white men. This trend can be linked to some large investors very loudly proclaiming a focus on so-called ""ES&G"" metrics. This also brings about an irrational focus on ""going green"". Up until a year or so ago, I was proud to see Chevron was resisting the industry trend of mouthing the ""Carbon is bad"" mantra. This has flipped and quickly in the last year. Terrible for morale1 person found this review helpfulHelpfulShareRepor }",0.77
Great salaries but near impossible to survive all the layoffs,"{ Pros. Strong salaries, Good benefits, flexible 9/80 work schedule } { Cons. Has layoffs frequently, impacting large numbers of personnel. }",0.87
Best job if you can stomach the layoffs,"{ Pros. Very high pay and job security for the industry, put on a pedestal. Management track. } { Cons. Assignments can be luck of the draw, oil being a boom and bust industry has you wary. }",0.57
Good company,{ Pros. Treat you good. Good be if it’s. } { Cons. None. Decent company. They try to do the right thing. },0.82
Design Engineer,{ Pros. A lot of project management. } { Cons. You never really design anything as a design engineer. You do not even have any CAD software. It is mostly project management. },0.0
Great company to work for,{ Pros. Excellent pay and benefits Very nice and smart people to work with } { Cons. Global company where it is most preferred for you to be mobile },0.9
A good place to work,"{ Pros. Diverse and inclusive workforce, competitive salaries and excellent benefits, domestic and international work opportunities, high end technology applications, primary focus on personal and process safety, along with process efficiency. } { Cons. The petroleum industry is cyclical with global oil and natural gas prices resulting in periodic restructurings and downsizing to remain profitable and competitive. }",0.96
Excellent company.,"{ Pros. Great mission, vision, and executive management. } { Cons. Limited locations due to oil & gas industry. }",0.64
okay,"{ Pros. Good people, good environment, you learn a lot with many people } { Cons. Bad benefits, lots of work and sometimes you can get tired }",0.25
Its a great comany,"{ Pros. Friendly, nice hours and bennifits and good management } { Cons. I have no bad comments }",0.89
Strong company has to adjust for changing economy,{ Pros. Culture of caring for employees backed up by policies and some very good benefits (pension + 401K match for example) Collaborative people } { Cons. Reorg and adjusting to Scrum Agile will be a challenge Playing catch up in some areas of technology },0.89
Review,{ Pros. Work/life balance Transparency across all levels } { Cons. Leadership speaks on diversity but still technical discipline like Ops and Drilling functions make it hard for diversity (ethnicity) to thrive },0.39
It is not Exxon,{ Pros. Good food in cafetería with good prices } { Cons. Singing cunbaya is more important that to do the job },0.78
The people are nice,{ Pros. Management is nice and there are always hours } { Cons. Upper management in corporate do not care for station employees },0.04
"Great, until it isn’t...","{ Pros. 24 years of diverse assignments. } { Cons. Price drops, and so are you. }",0.0
A great Company to work for,"{ Pros. - Good work life balance - Great benefits - Great learning opportunities } { Cons. - Being a big Company, There are lot of processes and procedures which may not be required typically. But management is actively working to address this issue. }",0.89
Great Employer,"{ Pros. Pay, integrity, quality co-workers, adventure and diversity } { Cons. Sometimes slow to make decisions in early phases of projects }",0.54
Great,"{ Pros. Flexible, fast-paced, good working environment } { Cons. Stressful, too many legal responsibilities, }",0.25
Chevron oil and gas,"{ Pros. Good benefits, overall strong values } { Cons. Industry downturns, career development depends on the higher ups }",0.89
Great Company To work For,"{ Pros. Great Benefits , Good Career Paths , Sky is the limit } { Cons. Midstream Division works a lot of overtime hours }",0.86
Decent place,"{ Pros. Great pay and benefits. Work environment is relaxed and welcoming } { Cons. Corporate beurocracy can be annoying, change resistant, favoritism1 person found this review helpfulHelpfulShareRepor }",0.87
Future is bleak,{ Pros. Good assignments in past years } { Cons. Future in energy is not in oil },0.61
Good company to work for but lately it seems like they are restructuring every 2 years,"{ Pros. Great company to work for, awesome salary and benefits. } { Cons. I've worked here for almost 12 years and on the last six years I have gone thru four company transformation events which means that you need to reapply and compete for your own job (if it is still there) and a lot of people get fire. }",0.86
Chevron,{ Pros. Great company and culture. Very collaborative. } { Cons. Layoffs when oil prices go down. A lot of politics. },0.62
Good,"{ Pros. stable, benefits, local, management, pay } { Cons. energy field, no growth, static }",0.51
"Big company, but lots of opportunity","{ Pros. Many geography regions, empathetic leadership } { Cons. Big company mentality, sometimes rigid }",0.3
good co to works for petrotechs,"{ Pros. flexible culture, smart people, expat assigments } { Cons. o&g is going through changes }",0.56
over worked under paid,{ Pros. customers reps paper work sometimes owner } { Cons. low pay over worked and no one helped doing daily chores },-0.57
