;Company;date;employee_title;employee_status;review_title;pros;cons
319;Schlumberger;2021-03-16;Currently Unemployed;Former Employee;Good company;"Advancement is very highly persuaded in the company.
";"Proper training is never given or offered.
Be the first to find this review helpful
Helpful
Share
Repor"
320;Schlumberger;2021-03-16;Engineer;Former Employee;Excellent;"Excellent work culture. Great people
";"None. Just great overall! Excellent
"
321;Schlumberger;2021-03-29;Field Engineer;Former Employee, more than 1 year;Great company to work for;"Team work environment. The people I worked with had become like family just because we spent so much time (2 weeks at a time) out on the job sites.
";"If you have a family, be ready to be away from them and seeing them about one week a month
"
322;Schlumberger;2021-03-30;Production Technician;Former Employee, more than 8 years;Manufacturing;"Good people to work with, team atmosphere. Good pay and benefits.
";"Management can be disorganized and it is hard to move up in the company. Watch out for the layoffs.
"
323;Schlumberger;2021-03-30;Engineer II;Current Employee, more than 8 years;Pretty good company;"I enjoyed my time with them.
";"I feel like it's a boys club.
Be the first to find this review helpful
Helpful
Share
Repor"
324;Schlumberger;2021-03-30;FP&A Manager;Current Employee;FP&A;"Good benefits, opportunities to move around the globe
";"Shifting management and leadership team
Be the first to find this review helpful
Helpful
Share
Repor"
325;Schlumberger;2021-03-28;Logistics Specialist;Current Employee, more than 3 years;Logistics;"Benefits, diversity in the team
";"Micro-management, offices were old, lot of work.
Be the first to find this review helpful
Helpful
Share
Repor"
326;Schlumberger;2021-03-14;Senior Data Scientist;Former Employee, more than 1 year;oil and gas plus new technology;"good environment, very technical group
";"slow promotional steps, same as other big companies in oil and gas
"
327;Schlumberger;2021-03-28;HSE Specialist;Current Employee, more than 5 years;Lots of hours;"Rotation is good for time off
";"Rotation is bad for family
"
328;Schlumberger;2021-03-27;Electrical Engineer;Current Employee, more than 8 years;Schlumberger;"Salary, benefits, diversity, location, flexibility
";"Politics, travel, long hours, not stable
Be the first to find this review helpful
Helpful
Share
Repor"
329;Schlumberger;2021-03-27;Cameron GRDP Full-Time;Current Employee, more than 1 year;People with thin skin BEWARE;"salary, projects, experience, diversity, vacation
";"Not a lot of sensitivity or cultural awareness. You have to have a tough skin and cant be offended easily
"
330;Schlumberger;2021-03-12;Field Engineer;Current Employee;Engineer's Review;"Great company to work for
";"No cons about the company
Be the first to find this review helpful
Helpful
Share
Repor"
331;Schlumberger;2021-03-10;Field Engineer;Former Employee;Best experience, I really miss it, i was so sad when i got laid off due to the pandemic;"This company stretched my skills and became a better individual. I worked with great people. Great compensations I loved the 2 on 1 off schedule.
";"none. I head really great experience.
"
332;Schlumberger;2021-03-11;Product Line Manager;Former Employee, more than 8 years;Process driven company;"mostly engineers, standard value added work, great parental leave
";"liberty of oil/gas waves, mainly TX locations
"
333;Schlumberger;2021-03-11;Anonymous;Former Employee, more than 8 years;Employee Development;"They give a lot to the employee and help develop so many skills
";"A lot of pressure to deliver
"
334;Schlumberger;2021-03-10;Senior Software Engineer;Former Employee, more than 3 years;Very good employer;"Good pay and benefits; Career development
";"Office setup is pretty crowded
Be the first to find this review helpful
Helpful
Share
Repor"
335;Schlumberger;2021-03-08;Field Engineer;Former Employee, more than 1 year;Schlumberger;"Inspiring people, learning opportunity, training system
";"less organized system, management, industry instability
Be the first to find this review helpful
Helpful
Share
Repor"
336;Schlumberger;2021-03-09;Office Assistant Lead;Current Employee;Office Assistant Lead;"Great company and great benefits
";"I would love the room for more advancement
Be the first to find this review helpful
Helpful
Share
Repor"
337;Schlumberger;2021-03-09;Senior Mechanical Engineer;Current Employee;Job;"Good company with great mobility
";"Very cyclical industry and variable budget creates project difficulties
"
338;Schlumberger;2021-03-09;Iron Technician;Former Employee;Good company;"401, friendly enviorment,safety oriented company
";"Lacks training levels for progression
Be the first to find this review helpful
Helpful
Share
Repor"
339;Schlumberger;2021-03-09;Program Manager;Current Employee;Good overall;"Diversity, team environment, good benefits
";"Lack of job stability due to industry
Be the first to find this review helpful
Helpful
Share
Repor"
340;Schlumberger;2021-03-22;Engineer;Former Employee;Not great;"Decent salary Great medical insurance Some of the people are nice
";"You will have no life You do not get paid to deal with all of this Management does not listen to concerns or care about you at all
"
341;Schlumberger;2021-03-08;Document Control Supervisor;Current Employee;Excellent Company;"Flexible during covid, working from home.
";"A lot of work to do.
Be the first to find this review helpful
Helpful
Share
Repor"
342;Schlumberger;2021-03-08;HSE Specialist;Former Employee, more than 1 year;Good Place to work;"fast paced, good people, lots to learn
";"Takes too long to get approvals due to many managers in many departments; not necessarily a con though, just need to take time to understand the culture.
"
343;Schlumberger;2021-03-08;OS Development Manager;Former Employee, more than 10 years;good company to work for;"good benefits including paid sick leave and time for personal things. 401k up to 7% and discount stock program
";"instability in the organization for a long time with changes after changes that distort the objectives
"
344;Schlumberger;2021-03-08;MWD Field Engineer;Former Employee, more than 8 years;slb;"great money to start your life
";"there is almost no social life
Be the first to find this review helpful
Helpful
Share
Repor"
345;Schlumberger;2021-03-22;Schlumberger;Current Employee;Schlimnerge;"I like values and atmosphere
";"Salary is not high and lots of work
Be the first to find this review helpful
Helpful
Share
Repor"
346;Schlumberger;2021-03-22;Finance;Current Employee;Review;"Big name and one of the largest OFS companies
";"In-Stability which not helping you to plan for your career
Be the first to find this review helpful
Helpful
Share
Repor"
347;Schlumberger;2021-03-07;Anonymous;Current Employee, more than 1 year;Awesome work culture;"Awesome work culture with plenty of opportunities.
";"Can't think of any yet
Be the first to find this review helpful
Helpful
Share
Repor"
348;Schlumberger;2021-03-22;Rock Engineer;Former Employee, more than 5 years;Good pay bad leadership;"Good pay and benefits, opportunities if you want them.
";"Bad leadership, if you want to move up get in with the culture.
"
349;Schlumberger;2021-03-20;Writer;Former Employee, more than 3 years;Good people, relatively good understanding of work/life balance;"If you get a good team, it's the best you'll ever have. Collaborative environment and cool people. Bosses actually care about personal development. LARGE pay gaps by age and gender. Good outlook on safety procedures and HSE.
";"Cold layoffs, no raises for 5+ years for artists while engineers get raises almost every year.... Company culture varies widely based on your department. Very clear that the ""little guys"" are expendable and that they don't understand the value of artists to a large company
"
350;Schlumberger;2021-04-10;Cloud Transformation & Migration Manager;Current Employee;Okay;"International opportunities for young technical graduates.
";"Focus on innovation limits operational capabilities.
Be the first to find this review helpful
Helpful
Share
Repor"
351;Schlumberger;2021-03-04;Mechanical Engineer;Former Employee;Great company with brilliant employees;"- Great work environment - Wonderful and smart co-workers
";"- Heavy work load but expected as SLB is a massive company
"
352;Schlumberger;2021-03-04;Production Planner;Former Employee;Planner;"Good work schedule. Good training. Good place for growth
";"oil and gas not in a good spot so job security is not at the best
"
353;Schlumberger;2021-03-04;Account Executive;Former Employee, more than 8 years;Great place to work;"Diversity, people, industry, world presence
";"Slow moving career and lack big picture
Be the first to find this review helpful
Helpful
Share
Repor"
354;Schlumberger;2021-03-03;Quality Control Supervisor;Current Employee;;"O p p o r t u n i t i e s
";"Not A p p l i c a b l e
Be the first to find this review helpful
Helpful
Share
Repor"
355;Schlumberger;2021-03-16;IT Analyst;Current Employee, more than 5 years;Run for the hills;"Honestly I cannot say there is any redeeming qualities
";"Overworked, under appreciated, no loyalty
Be the first to find this review helpful
Helpful
Share
Repor"
356;Schlumberger;2021-03-02;Senior Geoscientist;Former Employee;Great Company;"Flexible working hours Good pay & benefits
";"High pressure and responsibility on the employees. Blaming culture
"
357;Schlumberger;2021-03-02;Receptionist/Administrative Assistant;Former Employee;Better than average;"It was a good paying position and I enjoyed working for and with the staff.
";"Schlumberger acquired Cameron (previous company) and they were slowly streamlining divisions. I was part of a series of cuts.
"
358;Schlumberger;2021-03-15;IT Manager;Former Employee, more than 3 years;No work life balance company on a decline;"diverse global workforce, respected brand, exposure to industry-leading ideas
";"No work-life balance, organization politics can be crazy in a shrinking company
"
359;Schlumberger;2021-03-16;Field Engineer;Former Employee;Field Engineer;"Working with very intelligent people.
";"Working schedule is really horrible
Be the first to find this review helpful
Helpful
Share
Repor"
360;Schlumberger;2021-03-15;Equipment Operator;Former Employee, more than 3 years;Good training;"Good training, good people, big company with options when it slows down.
";"Not a lot of Family time, a lot of sleep deprivation for rotators if travel isn't provided.
"
361;Schlumberger;2021-02-26;Drilling Engineer;Former Employee, more than 10 years;Specific US market based review;"Good structured, not the worst benefits on the market
";"Unstable and very dependent on O&G market situation, not really people-oriented
"
362;Schlumberger;2021-02-25;Senior Data Analyst;Current Employee, more than 5 years;Good Job;"Pay is good, benefits are good, the people are awesome
";"Just a number, company puts revenue over employees
"
363;Schlumberger;2021-02-25;Quality Engineer;Current Employee, more than 1 year;Good emphasis on safety and work-life balance;"Good work-life balance. Culture of safety. Diverse organization.
";"Oil industry, so prone to ups and downs.
"
364;Schlumberger;2021-03-10;Operation Controller;Former Employee, more than 8 years;Great growth opportunity;"Allow employees to learn and grow
";"poor life-work balance, no time to spend quality time with families
"
365;Schlumberger;2021-03-11;Anonymous;Former Employee, more than 3 years;Lack of growing opportunities;"Great culture and education to learn operations and processes.
";"Lack of professional growth and income. Long term to move up to management so a lot of ppl will decide to leave after 3 years.
"
366;Schlumberger;2021-03-11;Reliability Engineer;Former Employee, more than 3 years;Too much outdated processes;"good exposure to diverse employees
";"there were too many legacy processes that didn't apply to my actual job responsibilities to enjoy work. about 30% of my time was actually productive
"
367;Schlumberger;2021-02-24;Procurement Manager;Current Employee;great company to learn and grow;"lots of learning and development opportunities, experience with multinational employees and geographic mobility
";"industry downfall has impacted corporate culture drastically
"
368;Schlumberger;2021-03-10;Account Manager;Former Employee, more than 5 years;A lot you can learn and some poor management;"You can learn a lot from working at Schlumberger because it has a sink or swim environment with very little training that is actually relevant to what you do.
";"Sales management is more about making up for a crappy CRM system that is over engineered to the point it doesn't work. It is a garbage in garbage out tool. That being said managers see their main role as accurately forecasting business. The words ""building a strategy and understanding a market"" don't exist. Instead it is more about go sell X product or Y service and make $$$$.
"
369;Schlumberger;2021-02-23;Equipment Operator;Former Employee, more than 3 years;good company;"good pay good people to work with
";"home time weather equipment management
"
370;Schlumberger;2021-02-23;Financial Analyst;Current Employee, more than 3 years;Good people, long hours;"co-workers are good, helpful, intelligent
";"long hours is the norm in the finance department job security is low
"
371;Schlumberger;2021-02-23;Designer;Current Employee;Good place to learn;"Great management and good t place to grow with plenty of exposure to learn different things
";"The company division is very unstable
"
372;Schlumberger;2021-03-09;Lab Tech;Former Employee, more than 1 year;depends no where you get placed;"big company large amount of opportunities
";"room for growth may vary if you are in a business segment that doesnt matter then no opportunity for growth
"
373;Schlumberger;2021-02-22;Senior Project Engineer;Current Employee, more than 8 years;Challenging and rewarding but with a bit of politics;"Challenging, Adaptive environment, Good range of payscale, Good procedures, high focus on safety
";"Excessive control of ones time, too much dependence on online systems to manage everything, creating bubbles with digital management tools
"
374;Schlumberger;2021-02-19;Operations Manager;Former Employee, more than 10 years;Meritocracy, diverse;"Meritocracy, diverse, boderless international career
";"high pressure, lack of support at senior management level
Be the first to find this review helpful
Helpful
Share
Repor"
375;Schlumberger;2021-03-07;Financial Analyst;Former Employee, more than 5 years;Company does not care about their employees;"This is for the finance department good experience depending on the department you have. Some department are great I heard from other employees. The company did through some fun event to the employees
";"Depending on the department the manager are rude, no respect, micromanage. The hour's are excessive like working till 2 am.
"
376;Schlumberger;2021-02-20;Sales Engineer;Former Employee, more than 10 years;Correction Overdue;"New management Slimming down to fat Diversity
";"Diversity - people unqualified for positions Still too many departments
"
377;Schlumberger;2021-02-20;Engineer;Former Employee;The field life;"Travel is fun and the work is rewarding
";"you are away from family and friends and rarely off when they are
"
378;Schlumberger;2021-02-19;Technical Illustrator/Writer;Current Employee, more than 8 years;Great place to work;"The people are wonderful, friendly and professional. The company definitely goes out of its way to put safety first, even off-site.
";"Oil & gas in general is a volatile workplace. I have seen many colleagues turned friends hired and laid off.
"
379;Schlumberger;2021-02-19;Field Engineer I;Former Employee;Lots of upwards mobility;"Plenty of space to grow
";"The company is really absorbing
Be the first to find this review helpful
Helpful
Share
Repor"
380;Schlumberger;2021-03-05;Senior Engineer;Current Employee;Stereotypical Oil and Gas Company;"Large Company with access to deep technological data and resources. Well managed financially International exposure with established product lines
";"Bureaucratic organization - Can be very political Very confined upwards progression professionally - Must tick certain boxes or else you will not move upwards in your career It's an oil and gas company - work life balance is absolutely terrible. They'll squeeze every ounce of utility out of you and the compensation won't necessarily match.
"
381;Schlumberger;2021-02-16;Senior Software Engineer;Former Employee, more than 5 years;Good company to work for;"- Diversity - Good Pay - Talented Engineers from top universities around the globe - MBO (management by objectives)
";"- Limited opportunities due to reduced R&D spending as a result of downturns in Oil and Gas industry
"
382;Schlumberger;2021-02-18;Field Engineer;Former Employee;Great Training;"Training Program was extensive and very thorough
";"You will work very long hours
Be the first to find this review helpful
Helpful
Share
Repor"
383;Schlumberger;2021-03-04;Finance Manager;Former Employee, more than 5 years;Favors legacy employees;"Good Benefits, Global presence, Career opportunities
";"You can be successful but you have to put in the hours...not enough work life balance.
"
384;Schlumberger;2021-03-04;Business Analyst;Former Employee;Good Company to work for;"Good pay, good work-life balance
";"Unstable oil market. badly affected by COVID.
Be the first to find this review helpful
Helpful
Share
Repor"
385;Schlumberger;2021-03-04;Senior Petrophysical Engineer;Former Employee, more than 10 years;ok;"variety of work and exposure
";"no clear strategy, difficult to plan
Be the first to find this review helpful
Helpful
Share
Repor"
386;Schlumberger;2021-03-24;Technical Sales Team Leader;Former Employee;jj;"Great place to work before
";"was once a great place
Be the first to find this review helpful
Helpful
Share
Repor"
387;Schlumberger;2021-02-16;IT Applications Manager;Current Employee, more than 10 years;Excellent company to grow and good packages;"Exposure and opportunity to move to different countries, good package
";"Job title does not match against responsibilities, lot of pressure due to oil prices
"
388;Schlumberger;2021-03-02;Sales Engineer;Current Employee;Sales engineer;"Schlumberger has a Teamwork , integrity
";"Schlumberger is quick to Layoffs people
Be the first to find this review helpful
Helpful
Share
Repor"
389;Schlumberger;2021-02-15;Drilling Engineer;Former Employee, more than 10 years;A Slow Decline;"The people are the best in the world.
";"Sometimes you get stuck in one place too long.
Be the first to find this review helpful
Helpful
Share
Repor"
390;Schlumberger;2021-02-15;Quality Engineer;Current Employee;Good work culture;"Good people and culture, salary great
";"Oil and gas industry and market situation
Be the first to find this review helpful
Helpful
Share
Repor"
391;Schlumberger;2021-03-01;Senior Director;Former Employee, more than 10 years;Excellent School - Seniority Growth makes you a target for layoff;"- Training and Development is excellent - International Experience - although downturns and tech have reduced the international transfer culture - Technical level of co-workers is very high - Benefits are ok, but cannot compete with Oil operators
";"- Work-Life balance is an issue. Working overtime is the norm - Has released 60,000 people since 2015. So the fear of being released is constant - Once you surpass the B6 grade you become a target to be released, regardless of performance - Downturn has been used as the excuse to reduce the population so drastically, but it rather is the transformation program that the are executing rather than real business outlook. - Downturn and ""multiskilling"" are the reasons to make people wear three hats.
"
392;Schlumberger;2021-02-12;Currently Unemployed;Former Employee;Good;"Great benefits and lots of hours
";"Lots of hours and have to travel out of state
Be the first to find this review helpful
Helpful
Share
Repor"
393;Schlumberger;2021-02-12;Operation Support Engineer;Former Employee, more than 5 years;Fine Company;"Good training for different roles
";"Hard to move up in the company
Be the first to find this review helpful
Helpful
Share
Repor"
394;Schlumberger;2021-02-26;Department Manager;Former Employee, more than 3 years;It's a career chop shop;"Great place if they need you
";"If they don't need you and want to offshore your position, they'll cut you in a heartbeat
"
395;Schlumberger;2021-02-09;Sap deployment analyst;Current Employee, more than 3 years;It is a good company to start your career;"the work schedule is quite flexible
";"Salary is paid below market
1 person found this review helpful
Helpful
Share
Repor"
396;Schlumberger;2021-02-24;Field Engineer;Former Employee;Work Ethics;"The company provides amazing Technology and training
";"There is No work- life balance
Be the first to find this review helpful
Helpful
Share
Repor"
397;Schlumberger;2021-02-25;Field Engineer;Current Employee;;"Good pay good money good benefits
";"No work lif balance. They work you to death and do not value your personal life commitments. They expect you to work non-stop.
"
398;Schlumberger;2021-02-10;Customer Service Escalations Specialist;Former Employee, more than 1 year;Great Company to Work For;"Very diverse culture-people from all over the world, great management, good salary and great benefits, flexible hours, constant learning and development, career opportunities, very interactive...always some kind of events going on.
";"You will need to be able to constantly get out of your comfort zone, ability to handle stress and work overtime, might get laid off after a years or so and it doesnt matter how long you have been with the company
"
399;Schlumberger;2021-02-10;Sales Account Lead;Former Employee, more than 10 years;Great Company to Work For;"Great people for the most part, can just about move into any position if you are willing to work hard for it. Pay is definitely fair and along with the professional development that comes from working for SLB, it makes it a really good company to be a part of, especially straight out of college.
";"The industry as a whole is in trouble long-term, SLB is trying to be progressive but at the end of the day it is an O&G company. Being a part of a service company in a struggling industry is tough, cuts are usually harsh and deep, but it is something you have to accept. As for the company itself, biggest con is the same with most large companies. The corporate mentality/approach to everything can be taxing, but again, you have to accept it with any large employer.
"
400;Schlumberger;2021-02-10;Buyer/Planner;Former Employee, more than 3 years;Nice place to work and retire;"High work life balance and nice place to retire
";"You need to be a top performer to reduce risk of layoffs during downturns in oil industry
"
401;Schlumberger;2021-02-10;Mechanical Engineer;Current Employee;Good company;"Schlumberger is a good place to work. It offers quality benefits with plenty of time off.
";"I don't have many cons regarding my employment with Schlumberger.
"
402;Schlumberger;2021-02-10;Scientific Computing Engineer;Current Employee, more than 10 years;Good place to work;"Interesting projects, care about people, health care and vacation benefits
";"Large company, a lot of bureaucracy
"
403;Schlumberger;2021-02-10;Senior Burger Flipper;Current Employee, more than 1 year;Slum Burger;"Free cupcakes were provided to potential candidates
";"Unskippable cutscene required first before cupcakes
"
404;Schlumberger;2021-02-24;Engineer;Current Employee, more than 5 years;Generally Clueless;"The engineers are very smart
";"Company runs like it's still the 90s. Seems to have no idea how to transition.
"
405;Schlumberger;2021-02-09;Analyst;Former Employee;Work;"Team was great, depending on who in your team
";"worklife balance is hard. Alot of hours during month end
Be the first to find this review helpful
Helpful
Share
Repor"
406;Schlumberger;2021-02-23;Controller;Former Employee;International company;"real international company with diversified culture
";"If you are not mobile, your career growth is limited.
Be the first to find this review helpful
Helpful
Share
Repor"
407;Schlumberger;2021-02-07;Global Sourcing Manager;Current Employee, more than 10 years;Good stable company;"Good long term prospects, good employee benefits
";"General shift of conversation away from the oil industry
Be the first to find this review helpful
Helpful
Share
Repor"
408;Schlumberger;2021-02-08;Service Manager;Former Employee, more than 8 years;Great company to work for. Opportunity for growth and challenging career.;"Opportunity to move to different roles and grow in your career.
";"Work/life balance in operations is sometimes challenging.
"
409;Schlumberger;2021-02-22;Human Resources Analyst;Former Employee, less than 1 year;Okay Experience;"Enjoyed the people I worked with.
";"Could not avoid the cycle of layoffs.
Be the first to find this review helpful
Helpful
Share
Repor"
410;Schlumberger;2021-03-14;Currently Unemployed;Former Employee;Terrible company;"No pros, the company is based on getting revenue from companies without caring about the wellbeing of the employee
";"racist poor management poor trining no work/life balance
"
411;Schlumberger;2021-02-07;Mechanical Engineer;Current Employee;Good company;"Good managers, projects and benefits
";"Could have more organized events.
Be the first to find this review helpful
Helpful
Share
Repor"
412;Schlumberger;2021-02-07;Accountant;Current Employee, more than 8 years;slb;"Is good company, has good benefits
";"sometimes requires work overtime.Including some weekends
Be the first to find this review helpful
Helpful
Share
Repor"
413;Schlumberger;2021-02-21;Geophysicist;Former Employee, more than 1 year;Geophysicst;"life work balance, high base
";"narrow career path, low bonus
Be the first to find this review helpful
Helpful
Share
Repor"
414;Schlumberger;2021-02-06;Financial Analyst;Current Employee;Great company to work for;"Great company to work for
";"No, issues to report, great team
Be the first to find this review helpful
Helpful
Share
Repor"
415;Schlumberger;2021-02-21;Process Engineer;Current Employee, more than 1 year;Process Engineer Revier;"Good Benefits (401k match, 3 weeks starting vacation, dental, medical, vision)
";"Bad Management, Poor Training Program, Lack of Respect for coworkers, No work life balance
"
416;Schlumberger;2021-02-06;Aftermarket Sales;Former Employee, more than 3 years;Good company;"Training salary and progression relocation
";"Investment into acquisitions minimal top leadership questionable in some areas.
"
417;Schlumberger;2021-02-06;Mechanical Engineer;Current Employee;Good company;"Good managers, projects, and benefits.
";"Could have better organized events.
Be the first to find this review helpful
Helpful
Share
Repor"
418;Schlumberger;2021-02-04;Senior Project Engineer;Former Employee, more than 10 years;Great oil service company;"Salary, Benefits, highly tech company
";"Frequent layoffs. Work life balance.
Be the first to find this review helpful
Helpful
Share
Repor"
419;Schlumberger;2021-02-04;Sales Manager;Current Employee;Great;"It is a great place
";"There is nothing bad about
Be the first to find this review helpful
Helpful
Share
Repor"
420;Schlumberger;2021-02-05;Domain Manager;Former Employee, more than 10 years;A career not a job;"Flexible mobility, diverse workforce, hard work but great rewards
";"A new CEO who was not employee focused.
"
421;Schlumberger;2021-02-05;Senior Director;Former Employee, more than 8 years;Manufacturing;"growth, opportunity, training and flexibility
";"lack of diversity and inclusion
"
422;Schlumberger;2021-02-19;Sourcing Specialist;Former Employee, more than 1 year;Pulled in too many directions;"-Decent benefits (matching 401K, medical, dental, vision, basic life) -salary in line with industry -focus on safety
";"-too many stake holders causes conflicting goals (corporate vs center vs function) -too many systems (my site used both Oracle and SAP ERP systems and multiple add-ons like BI and Ariba which made it difficult to find what you are looking for in one place -too fluid, everyone is looking for the next step up which causes a cut throat environment. Also with all the movement you had people doing functions they had no clue about - targets pushed to centers are unreasonable and not attainable as they are decided in a vacuum
"
423;Schlumberger;2021-02-19;Equipment Operator;Former Employee, more than 1 year;Work/Life Balance;"Working along side the group of people that would become a part of your family was the best part about the job
";"The work/life balance was horrible.
"
424;Schlumberger;2021-02-04;Field Market Supervisor;Former Employee;Good place;"Some are good in benefits
";"None to my knowledge I have
Be the first to find this review helpful
Helpful
Share
Repor"
425;Schlumberger;2021-03-11;Principal Engineer;Former Employee, more than 5 years;Avoid;"Pay, benefits and location could be plusses
";"Horrible management and work culture
Be the first to find this review helpful
Helpful
Share
Repor"
426;Schlumberger;2021-02-03;Financial Analyst;Former Employee, more than 5 years;Schlumberger;"good pay, benefits, fun atmosphere
";"long hours, minimal training, high employee turnover
Be the first to find this review helpful
Helpful
Share
Repor"
427;Schlumberger;2021-02-17;Field Engineer;Former Employee;It's a trade off;"Gooooooood money in bonuses, especially if you're fresh out of college.
";"It's a trade off of your life, energy and soul. Your on call schedule, 15 days on and 6 days off will drain your energy and you'll feel 6 years older in the first 6 months. Sometimes the jobs last 24 hours, but you could get stuck in a rig for 5-6 days, from a single job, or doing back to back jos. Driving without having slept 3 days straight. Again, that's how much you'll get paid, but it's hard.
"
428;Schlumberger;2021-02-17;Electronics Technician II;Current Employee, more than 3 years;Interesting adventures;"Lots of time and upper management support Interesting company structure
";"Lacks organization in some segments but is expected with oil field work. Working in the elements is not always enjoyable but is expected.
"
429;Schlumberger;2021-02-17;Supply Demand Planner;Former Employee;An accomplished supply chain professional with over 7 years of experience.;"Team projects and educational growth.
";"Hard to get a raise without internal testing and presentations.
Be the first to find this review helpful
Helpful
Share
Repor"
430;Schlumberger;2021-02-02;Material Handler;Current Employee, more than 1 year;Pretty good company overall;"Plenty of vacation and understanding
";"Management needed work on the business side of it
Be the first to find this review helpful
Helpful
Share
Repor"
431;Schlumberger;2021-02-01;Senior Program Architect;Former Employee, more than 10 years;Great company;"* Frequent job change for those who like it (very dynamic) * Complex projects to work on
";"* Frequent downturns * Sometimes, old style management * Top - bottom management * Compensation is good while you are geomobile.
"
432;Schlumberger;2021-02-15;Customer Engagement Coordinator;Current Employee, more than 3 years;Soul Sucking;"Excellent opportunity to work with a diverse group of people
";"Very limited career progression, especially for females Poor work-life balance Pay is low for industry
"
433;Schlumberger;2021-01-31;Field Engineer;Former Employee;Solid starter career company;"Benefits, training, growth opportunities, diversity
";"Time spent in field can be demanding
Be the first to find this review helpful
Helpful
Share
Repor"
434;Schlumberger;2021-01-25;Software Engineer;Former Employee;International industry experience;"Opportunity to work with and to learn from experts in various scientific domains. One of the best if you want to be in an international industry business. You meet people from a variety of background (both academic, cultural). There is a real international atmosphere.
";"Vulnerable to the oil and gas market fluctuation
"
435;Schlumberger;2021-02-12;Senior Sales Representative;Former Employee, more than 10 years;Ok Place To Work;"Pay was up to industry standards
";"Too Much Unnecessary Busy Work
"
436;Schlumberger;2021-02-12;Financial Analyst;Current Employee;Very Demanding;"Lots of opportunities to learn, develop and implement efficient solutions
";"No work-personal life balance. this is how management normally handles themselves
"
437;Schlumberger;2021-01-28;FET;Former Employee, less than 1 year;Good;"Pay is quite good really
";"Sustainability is terrible at times
Be the first to find this review helpful
Helpful
Share
Repor"
438;Schlumberger;2021-01-28;EO2;Current Employee, more than 3 years;Good company. Management needs work;"Great company. Pay is good
";"Management needs work. We are just numbers on a spreadsheet
"
439;Schlumberger;2021-01-28;Senior Human Resources Business Partner;Former Employee, more than 8 years;Good Company for variety , Volatile Industry;"Training: Their fresh-out training is great. For mid-career employees there are a lot of virtual training available but there is not much structure. Career: They are good at recognizing talent and giving people chances in different roles. They are willing to pay take chances on people to give them a well rounded career. Pay: Compared to Operators they will pay less but overall they pay well and have good perks. Oil and Gas as a whole tends to pay quite well.
";"They are always laying off. You will work very hard with little work life balance.
"
440;Schlumberger;2021-01-28;Field Engineer;Former Employee, more than 1 year;Field Engineer - Well Services;"Great training and field experience
";"Work-life balance can be tough for many
Be the first to find this review helpful
Helpful
Share
Repor"
441;Schlumberger;2021-02-11;Financial Analyst;Former Employee, more than 1 year;Tools to improve time consuming work;"a lot of good tools to improve time consuming.
";"not enough training to give the necessary skills to use the tools developed
"
442;Schlumberger;2021-01-26;Distribution Analyst;Former Employee, more than 3 years;Distribution Analyst;"the team I worked with was very welcoming, very kind and helpful.
";"covid sucks it was the only reason i no longer work there
"
443;Schlumberger;2021-01-27;Logistics Analyst;Former Employee;kkk;"Benefits, building, 401k, medical, culture.
";"Micro management, size of the company
Be the first to find this review helpful
Helpful
Share
Repor"
444;Schlumberger;2021-02-11;Service Delivery Engineer;Current Employee, more than 10 years;Oil down turn hits hard;"good dedicated people working their
";"oil company Bad for the environment
Be the first to find this review helpful
Helpful
Share
Repor"
445;Schlumberger;2021-02-10;Account Executive;Former Employee;Great company, but reactionary and short sighted for US personnel;"Great benefits and compensation and coworkers.
";"Micro managed, treated like a number, short sighted, priority given to staff outside US
"
446;Schlumberger;2021-01-26;Manufacturing Engineer;Former Employee, more than 1 year;Excellent place to work;"Excellent place to work. Great learning curve
";"Nothing in specific to mention.
Be the first to find this review helpful
Helpful
Share
Repor"
447;Schlumberger;2021-03-03;Fixed Asset Accountant;Former Employee, more than 1 year;the worst company;"there is no pro about this company
";"very toxic company very racist company no room for growth no work life balance work ridiculous hours, i'm talking 70 -90 hrs a week terrible upper management the worst salary THEY WILL OVERWORK YOU AND RUN YOU DOWN
"
448;Schlumberger;2021-01-26;Field Development Specialist;Former Employee;has pros and cons;"no month end and somewhat of life balance. Company is changing a lot but it still has a lot of Schlumbergers down falls to it.
";"Managers and Leads arent based on hard work. all Analyst positions are unhappy people
"
449;Schlumberger;2021-03-02;Sales Representative;Former Employee, more than 8 years;Technical Sales Rep;"good health, life, dental benefits
";"low pay, will lay off with any dip in oil pricing
"
450;Schlumberger;2021-03-02;Safety Specialist;Former Employee, more than 1 year;Working at SLB;"Opportunity to meet people with different ethnicity
";"No empathy If they relocated and then lay you off you are on your on
"
451;Schlumberger;2021-01-23;Procurement Specialist;Former Employee, more than 3 years;Excellent Management;"Work life balance is awesome and managers are genuinely caring.
";"Work can become redundant at time but innovation is encouraged.
"
452;Schlumberger;2021-02-06;Maintenance Engineer;Former Employee, less than 1 year;If you like it, you like it;"Travel a lot, many challenges and opportunity, make good friends for life.
";"Travel. You will be away from family. Prepare for mental breakdown, specially during first 3 months of training.
"
453;Schlumberger;2021-01-22;Reliability Specialist;Former Employee, more than 5 years;Schlumberger was a great company to work with.;"Upward mobility, job flexibility, competent upper management
";"Team leads at lower levels can have a quite negative attitude.
"
